local_raw,nome_norm,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
Orocó,oroco,2609808.0,Orocó,-8.61026,-39.6026,0.0,26.0,2495.0,87.0,America/Sao_Paulo
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Ibó,ibo,,,,,,,,,
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Belém do São Francisco,belem do sao francisco,2601607.0,Belém do São Francisco,-8.75046,-38.9623,0.0,26.0,2331.0,87.0,America/Sao_Paulo
Jardim (região do Cariri),jardim (regiao do cariri),,,,,,,,,
Alto Turiaçu,alto turiacu,,,,,,,,,
Alto Rio Guamá (terras indígenas),alto rio guama (terras indigenas),,,,,,,,,
Aparato geral - Pará,aparato geral - para,,,,,,,,,
Petrolina,petrolina,2611101.0,Petrolina,-9.38866,-40.5027,0.0,26.0,2521.0,87.0,America/Sao_Paulo
Floresta,floresta,4107900.0,Floresta,-23.6031,-52.0807,0.0,41.0,7555.0,44.0,America/Sao_Paulo
Floresta,floresta,2605707.0,Floresta,-8.60307,-38.5687,0.0,26.0,2413.0,87.0,America/Sao_Paulo
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Encontrado no km 402 da rodovia 020 em Caucaia. Droga veio de Belém/PA,encontrado no km 402 da rodovia 020 em caucaia. droga veio de belem/pa,,,,,,,,,
Novo Airão,novo airao,1303205.0,Novo Airão,-2.63637,-60.9434,0.0,13.0,201.0,92.0,America/Porto_Velho
Barcelos,barcelos,1300409.0,Barcelos,-0.983373,-62.9311,0.0,13.0,209.0,97.0,America/Porto_Velho
Parauaopebas,parauaopebas,,,,,,,,,
Barco próximo ao município de Novo Airão,barco proximo ao municipio de novo airao,,,,,,,,,
Orocó/PE,oroco/pe,,,,,,,,,
Triunfo/PE,triunfo/pe,,,,,,,,,
Salgueiro/PE,salgueiro/pe,,,,,,,,,
Cabrobó/PE,cabrobo/pe,,,,,,,,,
Belém do São Francisco/PE,belem do sao francisco/pe,,,,,,,,,
Betânia/PE,betania/pe,,,,,,,,,
Flores/PE,flores/pe,,,,,,,,,
Carnaubeira da Penha/PE,carnaubeira da penha/pe,,,,,,,,,
Sertânia/PE,sertania/pe,,,,,,,,,
Dormentes/PE (Ilhas do São Francisco),dormentes/pe (ilhas do sao francisco),,,,,,,,,
Abaré,abare,2900207.0,Abaré,-8.72073,-39.1162,0.0,29.0,3303.0,75.0,America/Sao_Paulo
Andorinha,andorinha,2901353.0,Andorinha,-10.3482,-39.8391,0.0,29.0,3255.0,74.0,America/Sao_Paulo
Cabrobó/PE,cabrobo/pe,,,,,,,,,
Campo Formoso,campo formoso,2906006.0,Campo Formoso,-10.5105,-40.32,0.0,29.0,3419.0,74.0,America/Sao_Paulo
Casa Nova,casa nova,2907202.0,Casa Nova,-9.16408,-40.974,0.0,29.0,3443.0,74.0,America/Sao_Paulo
Curaçá,curaca,2909901.0,Curaçá,-8.98458,-39.8997,0.0,29.0,3497.0,74.0,America/Sao_Paulo
João Dourado,joao dourado,2918357.0,João Dourado,-11.3486,-41.6548,0.0,29.0,3099.0,74.0,America/Sao_Paulo
Sento Sé,sento se,2930204.0,Sento Sé,-9.74138,-41.8786,0.0,29.0,3903.0,74.0,America/Sao_Paulo
Xique-Xique.,xique-xique.,,,,,,,,,
Monteiro,monteiro,2509701.0,Monteiro,-7.88363,-37.1184,0.0,25.0,2095.0,83.0,America/Sao_Paulo
Canindeyú (departamento),canindeyu (departamento),,,,,,,,,
Sem informações (Zona rural de Paraíba),sem informacoes (zona rural de paraiba),,,,,,,,,
Salgueiro,salgueiro,2612208.0,Salgueiro,-8.07373,-39.1247,0.0,26.0,2543.0,87.0,America/Sao_Paulo
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Orocó,oroco,2609808.0,Orocó,-8.61026,-39.6026,0.0,26.0,2495.0,87.0,America/Sao_Paulo
Belém do São Francisco,belem do sao francisco,2601607.0,Belém do São Francisco,-8.75046,-38.9623,0.0,26.0,2331.0,87.0,America/Sao_Paulo
Ibimirim e Serra Talhada,ibimirim e serra talhada,,,,,,,,,
e Manaíra,e manaira,,,,,,,,,
X,x,,,,,,,,,
Pedro do Rosário,pedro do rosario,2108256.0,Pedro do Rosário,-2.97272,-45.3493,0.0,21.0,208.0,98.0,America/Sao_Paulo
proximidades de Angico,proximidades de angico,,,,,,,,,
Rio de Janeiro (Complexo da Maré),rio de janeiro (complexo da mare),,,,,,,,,
Região do Alto Paranaíba (divisa entre Patrocínio,regiao do alto paranaiba (divisa entre patrocinio,,,,,,,,,
Coromandel),coromandel),,,,,,,,,
Uberlândia,uberlandia,3170206.0,Uberlândia,-18.9141,-48.2749,0.0,31.0,5403.0,34.0,America/Sao_Paulo
Cascalho Rico,cascalho rico,3115003.0,Cascalho Rico,-18.5772,-47.8716,0.0,31.0,4299.0,34.0,America/Sao_Paulo
Entre Curaçá,entre curaca,,,,,,,,,
Abaré,abare,2900207.0,Abaré,-8.72073,-39.1162,0.0,29.0,3303.0,75.0,America/Sao_Paulo
Salgueiro,salgueiro,2612208.0,Salgueiro,-8.07373,-39.1247,0.0,26.0,2543.0,87.0,America/Sao_Paulo
Cabrobó,cabrobo,2603009.0,Cabrobó,-8.50548,-39.3094,0.0,26.0,2359.0,87.0,America/Sao_Paulo
Orocó,oroco,2609808.0,Orocó,-8.61026,-39.6026,0.0,26.0,2495.0,87.0,America/Sao_Paulo
Belém do São Francisco,belem do sao francisco,2601607.0,Belém do São Francisco,-8.75046,-38.9623,0.0,26.0,2331.0,87.0,America/Sao_Paulo
Ibimirim,ibimirim,2606606.0,Ibimirim,-8.54026,-37.7032,0.0,26.0,2431.0,87.0,America/Sao_Paulo
Serra Talhada (PE),serra talhada (pe),,,,,,,,,
Manaíra (PB),manaira (pb),,,,,,,,,
localidades do Piauí,localidades do piaui,,,,,,,,,
Garrafão do Norte,garrafao do norte,1503077.0,Garrafão do Norte,-1.92986,-47.0505,0.0,15.0,585.0,91.0,America/Sao_Paulo
Cachoeira do Piriá,cachoeira do piria,1501956.0,Cachoeira do Piriá,-1.75974,-46.5459,0.0,15.0,46.0,91.0,America/Sao_Paulo
Capitão Poço,capitao poco,1502301.0,Capitão Poço,-1.74785,-47.0629,0.0,15.0,445.0,91.0,America/Sao_Paulo
Concórdia do Pará,concordia do para,1502756.0,Concórdia do Pará,-1.99238,-47.9422,0.0,15.0,579.0,91.0,America/Sao_Paulo
Nova Esperança do Piriá,nova esperanca do piria,1504950.0,Nova Esperança do Piriá,-2.26693,-46.9731,0.0,15.0,391.0,91.0,America/Sao_Paulo
próximos à Terra Indígena Alto Rio Guamá (TIARG),proximos a terra indigena alto rio guama (tiarg),,,,,,,,,
